A1BG,ANXA7
A1BG,ABCC6
A1BG,CDKN1A
A1BG,GRB7
A1BG,LGALS3
A1BG,NRF1
A1BG,SMN1
A1BG,SNCA
A1BG,TK1
A1BG,CRISP3
A1BG,PRDX4
A1BG,SETD7
A2M,ACTB
A2M,ALPP
A2M,AMBP
A2M,SLC25A5
A2M,SLC25A6
A2M,ANXA6
A2M,ANXA7
A2M,APOD
A2M,APOE
A2M,APP
A2M,KLK3
A2M,STS
A2M,ASAH1
A2M,ATP1A1
A2M,ATP5F1A
A2M,ATP5F1B
A2M,ATP6V1A
A2M,ATP6V1B2
A2M,AZU1
A2M,B2M
A2M,CAPN6
A2M,SCARB2
A2M,CDC42
A2M,CDK7
A2M,CDKN1A
A2M,CFTR
A2M,TPP1
A2M,CPB2
A2M,CTSB
A2M,CTSE
A2M,CTSG
A2M,CYP2C8
A2M,CYP2C18
A2M,CYP11A1
A2M,CYP19A1
A2M,DDOST
A2M,DLST
A2M,CELA1
A2M,ELAVL3
A2M,ENO2
A2M,FARSA
A2M,GAPDH
A2M,GBA1
A2M,GCDH
A2M,GEM
A2M,GLB1
A2M,GRB2
A2M,GUSB
A2M,H2AX
A2M,HMOX2
A2M,HSPA5
A2M,HSPD1
A2M,DNAJB1
A2M,IFIT3
A2M,IL1B
A2M,IL4
A2M,IL10
A2M,KLK2
A2M,LCAT
A2M,LEP
A2M,LGALS3
A2M,LGALS8
A2M,LRP1
A2M,LYZ
A2M,MAOA
A2M,MMP2
A2M,MPO
A2M,MYOC
A2M,NGF
A2M,NOS3
A2M,PAEP
A2M,PDGFA
A2M,PDGFB
A2M,PITX3
A2M,MAPK6
A2M,PRTN3
A2M,RAB3A
A2M,RAD23A
A2M,RAP1B
A2M,RHEB
A2M,SHBG
A2M,FBXW4
A2M,SMN1
A2M,PRDX2
A2M,TGFBI
A2M,TGIF1
A2M,TGM2
A2M,TK1
A2M,TTR
A2M,TYRO3
A2M,UFD1
A2M,UMPS
A2M,VDAC1
A2M,TP63
A2M,ADAM19
A2M,TNFRSF14
A2M,TSC22D1
A2M,ATP6V0D1
A2M,LONP1
A2M,ADAMTS1
A2M,AP1M2
A2M,CDK2AP2
A2M,TUBA1B
A2M,OGA
A2M,C11orf58
A2M,NUDT21
A2M,RPP14
A2M,CDC37
A2M,ADAMTS7
A2M,PAXIP1
A2M,MAST1
A2M,NCDN
A2M,SEPTIN8
A2M,IFIT5
A2M,KLK13
A2M,FBXO6
A2M,EXOSC1
A2M,ECSIT
A2M,FBXL12
A2M,ARL8B
A2M,ATF7IP
A2M,RETN
A2M,STAMBPL1
A2M,MLST8
A2M,ADAMTS12
A2M,PRAM1
A2M,IGSF8
A2M,EGLN2
A2M,EVI5L
A2M,SPACA3
A2M,TRAPPC5
A2M,SWSAP1
A2M,RNF32
A2M,HIPK1
A2M,CKMT1A
A2M,CDK11A
NAT1,UBC
NAT1,NAA10
NAT1,RPUSD1
NAT1,LRRK2
NAT2,APC
NAT2,APP
NAT2,ATM
NAT2,CDH1
NAT2,CDKN2A
NAT2,CDKN2C
NAT2,ERBB2
NAT2,HMMR
NAT2,IGF1R
NAT2,NBN
NAT2,RAD51
NAT2,AURKA
NAT2,STK11
NAT2,WT1
NAT2,NAA10
NAT2,PPM1D
NAT2,BAG4
NAT2,PALB2
SERPINA3,ADH1B
SERPINA3,APP
SERPINA3,KLK3
SERPINA3,ATP6V1A
SERPINA3,ATP6V1B1
SERPINA3,CMA1
SERPINA3,CTRB1
SERPINA3,CTRL
SERPINA3,CTSG
SERPINA3,CELA1
SERPINA3,ELANE
SERPINA3,ERBB2
SERPINA3,F5
SERPINA3,HOXB1
SERPINA3,KLK2
SERPINA3,LMNB1
SERPINA3,MMP1
SERPINA3,MST1
SERPINA3,NFKB1
SERPINA3,PITX3
SERPINA3,POLA1
SERPINA3,PSMA3
SERPINA3,SGCD
SERPINA3,ADAMTS4
SERPINA3,KLK4
SERPINA3,ABCC5
SERPINA3,LAMC3
SERPINA3,CTRC
SERPINA3,POLR1H
SERPINA3,DNAJC1
AAMP,DHPS
AAMP,HSF1
AAMP,PSEN2
AAMP,VPS52
AAMP,SRP9
AAMP,TBXA2R
AAMP,TK1
AAMP,TP53BP1
AAMP,UBC
AAMP,BHLHE40
AAMP,PLIN3
AAMP,UBD
AAMP,GABARAPL2
AAMP,PAXIP1
AAMP,PDCD4
AAMP,NELFCD
AAMP,NOD2
AAMP,AEN
AAMP,C8orf33
AAMP,MAP1LC3B
AANAT,F2
AANAT,MDFI
AANAT,PRKACA
AANAT,YWHAZ
AANAT,BHLHE40
AARS1,ACTA2
AARS1,ASNS
AARS1,CALU
AARS1,CDK2
AARS1,DARS1
AARS1,EEF1B2
AARS1,ETS1
AARS1,FN1
AARS1,GARS1
AARS1,HSF1
AARS1,HSP90AA1
AARS1,HSP90AB1
AARS1,IARS1
AARS1,ITGA4
AARS1,METTL1
AARS1,NARS1
AARS1,PPP2R5E
AARS1,QARS1
AARS1,SRP9
AARS1,STAT5B
AARS1,TPD52
AARS1,TPD52L2
AARS1,UBC
AARS1,UBA1
AARS1,VCAM1
AARS1,WARS1
AARS1,YWHAZ
AARS1,EIF4A3
AARS1,TOM1L1
AARS1,SAE1
AARS1,FARSB
AARS1,ARPC1B
AARS1,UBD
AARS1,CACYBP
AARS1,EEF2K
AARS1,IPO11
AARS1,LARS1
AARS1,SIRT7
AARS1,DPP8
AARS1,NSUN2
AARS1,OTUB1
AARS1,ANKMY2
AARS1,NIF3L1
AARS1,DPP9
ABAT,CRK
ABAT,ALDH5A1
ABAT,BAG3
ABCA1,AOX1
ABCA1,APOA1
ABCA1,CDC42
ABCA1,CREBBP
ABCA1,CSNK2A1
ABCA1,CSNK2A2
ABCA1,DLG2
ABCA1,DLG3
ABCA1,EGFR
ABCA1,LIMK1
ABCA1,LMO7
ABCA1,MYC
ABCA1,PDZK1
ABCA1,PLTP
ABCA1,PRKACA
ABCA1,TRIM27
ABCA1,SDHB
ABCA1,SNTA1
ABCA1,SNTB1
ABCA1,SNTB2
ABCA1,TGM2
ABCA1,TIAM1
ABCA1,UBC
ABCA1,UGP2
ABCA1,NR1H2
ABCA1,UTRN
ABCA1,XPC
ABCA1,IKBKG
ABCA1,PDLIM4
ABCA1,FADD
ABCA1,MPDZ
ABCA1,LIN7A
ABCA1,HGS
ABCA1,DLG5
ABCA1,COPS2
ABCA1,RIMS2
ABCA1,ARHGEF11
ABCA1,FLOT1
ABCA1,SPTLC1
ABCA1,PRPF8
ABCA1,COPS5
ABCA1,ARHGEF12
ABCA1,STX12
ABCA1,ATXN10
ABCA1,ABCA12
ABCA1,PDLIM3
ABCA1,SHANK1
ABCA1,UBR5
ABCA1,PALS2
ABCA1,RAPGEF6
ABCA1,LIN7C
ABCA1,GOPC
ABCA1,LIN7B
ABCA1,LNX1
ABCA1,SLC25A34
ABCA2,CACNA1A
ABCA2,CLTC
ABCA2,LAMB3
ABCA2,MYC
ABCA2,PCDH1
ABCA2,PMS2
ABCA2,UBC
