id	entrezid	symbol
4074	5170	PDPK1
4075	5171	PDR
4076	5172	SLC26A4
4077	5173	PDYN
4078	5174	PDZK1
4079	5175	PECAM1
4080	5176	SERPINF1
4081	5177	PEE1
4082	5178	PEG3
4083	5179	PENK
4084	5182	PEPB
4085	5183	PEPC
4086	5184	PEPD
4087	5185	PEPE
4088	5187	PER1
4089	5188	GATB
4090	5189	PEX1
4091	5190	PEX6
4092	5191	PEX7
4093	5192	PEX10
4094	5193	PEX12
4095	5194	PEX13
4096	5195	PEX14
4097	5196	PF4
4098	5197	PF4V1
4099	5198	PFAS
4100	5199	CFP
4101	5201	PFDN1
4102	5202	PFDN2
4103	5203	PFDN4
4104	5204	PFDN5
4105	5205	ATP8B1
4106	5207	PFKFB1
4107	5208	PFKFB2
4108	5209	PFKFB3
4109	5210	PFKFB4
4110	5211	PFKL
4111	5212	VIT
4112	5213	PFKM
4113	5214	PFKP
4114	5216	PFN1
4115	5217	PFN2
4116	5218	CDK14
4117	5222	PGA5
4118	5223	PGAM1
4119	5224	PGAM2
4120	5225	PGC
4121	5226	PGD
4122	5228	PGF
4123	5229	PGGT1B
4124	5230	PGK1
4125	5231	PGK1P1
4126	5232	PGK2
4127	5233	PGK1P2
4128	5236	PGM1
4129	5238	PGM3
4130	5239	PGM5
4131	5241	PGR
4132	5243	ABCB1
4133	5244	ABCB4
4134	5245	PHB1
4135	5246	PHB1P1
4136	5250	SLC25A3
4137	5251	PHEX
4138	5252	PHF1
4139	5253	PHF2
4140	5255	PHKA1
4141	5256	PHKA2
4142	5257	PHKB
4143	5258	PHKBP1
4144	5259	PHKBP2
4145	5260	PHKG1
4146	5261	PHKG2
4147	5262	PHKG1P3
4148	5264	PHYH
4149	5265	SERPINA1
4150	5266	PI3
4151	5267	SERPINA4
4152	5268	SERPINB5
4153	5269	SERPINB6
4154	5270	SERPINE2
4155	5271	SERPINB8
4156	5272	SERPINB9
4157	5273	SERPINB10
4158	5274	SERPINI1
4159	5275	SERPINB13
4160	5276	SERPINI2
4161	5277	PIGA
4162	5278	PIGAP1
4163	5279	PIGC
4164	5280	PIGCP1
4165	5281	PIGF
4166	5282	PIGFP1
4167	5283	PIGH
4168	5284	PIGR
4169	5286	PIK3C2A
4170	5287	PIK3C2B
4171	5288	PIK3C2G
4172	5289	PIK3C3
4173	5290	PIK3CA
4174	5291	PIK3CB
4175	5292	PIM1
4176	5293	PIK3CD
4177	5294	PIK3CG
4178	5295	PIK3R1
4179	5296	PIK3R2
4180	5297	PI4KA
4181	5298	PI4KB
4182	5300	PIN1
4183	5301	PIN1P1
4184	5303	PIN4
4185	5304	PIP
4186	5305	PIP4K2A
4187	5306	PITPNA
4188	5307	PITX1
4189	5308	PITX2
4190	5309	PITX3
4191	5310	PKD1
4192	5311	PKD2
4193	5312	PKD3
4194	5313	PKLR
4195	5314	PKHD1
4196	5315	PKM
4197	5316	PKNOX1
4198	5317	PKP1
4199	5318	PKP2
4200	5319	PLA2G1B
4201	5320	PLA2G2A
4202	5321	PLA2G4A
4203	5322	PLA2G5
4204	5324	PLAG1
4205	5325	PLAGL1
4206	5326	PLAGL2
4207	5327	PLAT
4208	5328	PLAU
4209	5329	PLAUR
4210	5330	PLCB2
4211	5331	PLCB3
4212	5332	PLCB4
4213	5333	PLCD1
4214	5334	PLCL1
4215	5335	PLCG1
4216	5336	PLCG2
4217	5337	PLD1
4218	5338	PLD2
4219	5339	PLEC
4220	5340	PLG
4221	5341	PLEK
4222	5342	PLGLB2
4223	5343	PLGLB1
4224	5345	SERPINF2
4225	5346	PLIN1
4226	5347	PLK1
4227	5348	FXYD1
4228	5349	FXYD3
4229	5350	PLN
4230	5351	PLOD1
4231	5352	PLOD2
4232	5354	PLP1
4233	5355	PLP2
4234	5356	PLRG1
4235	5357	PLS1
4236	5358	PLS3
4237	5359	PLSCR1
4238	5360	PLTP
4239	5361	PLXNA1
4240	5362	PLXNA2
4241	5364	PLXNB1
4242	5365	PLXNB3
4243	5366	PMAIP1
4244	5367	PMCH
4245	5368	PNOC
4246	5369	PMCHL1
4247	5370	PMCHL2
4248	5371	PML
4249	5372	PMM1
4250	5373	PMM2
4251	5375	PMP2
4252	5376	PMP22
4253	5378	PMS1
4254	5379	PMS2P1
4255	5380	PMS2P2
4256	5382	PMS2P4
4257	5383	PMS2P5
4258	5387	PMS2P3
4259	5393	EXOSC9
4260	5394	EXOSC10
4261	5395	PMS2
4262	5396	PRRX1
4263	5406	PNLIP
4264	5407	PNLIPRP1
4265	5408	PNLIPRP2
4266	5409	PNMT
4267	5411	PNN
4268	5412	UBL3
4269	5413	SEPTIN5
4270	5414	SEPTIN4
4271	5420	PODXL
4272	5422	POLA1
4273	5423	POLB
4274	5424	POLD1
4275	5425	POLD2
4276	5426	POLE
4277	5427	POLE2
4278	5428	POLG
4279	5429	POLH
4280	5430	POLR2A
4281	5431	POLR2B
4282	5432	POLR2C
4283	5433	POLR2D
4284	5434	POLR2E
4285	5435	POLR2F
4286	5436	POLR2G
4287	5437	POLR2H
4288	5438	POLR2I
4289	5439	POLR2J
4290	5440	POLR2K
4291	5441	POLR2L
4292	5442	POLRMT
4293	5443	POMC
4294	5444	PON1
4295	5445	PON2
4296	5446	PON3
4297	5447	POR
4298	5449	POU1F1
4299	5450	POU2AF1
4300	5451	POU2F1
4301	5452	POU2F2
4302	5453	POU3F1
4303	5454	POU3F2
4304	5455	POU3F3
4305	5456	POU3F4
4306	5457	POU4F1
4307	5458	POU4F2
4308	5459	POU4F3
4309	5460	POU5F1
4310	5462	POU5F1B
4311	5463	POU6F1
4312	5464	PPA1
4313	5465	PPARA
4314	5467	PPARD
4315	5468	PPARG
4316	5469	MED1
4317	5470	PPEF2
4318	5471	PPAT
4319	5473	PPBP
4320	5475	PPEF1
4321	5476	CTSA
4322	5478	PPIA
4323	5479	PPIB
4324	5480	PPIC
4325	5481	PPID
4326	5483	PPIAP11
4327	5485	PPIAP13
4328	5486	PPIAP14
4329	5487	PPIAP15
4330	5488	PPIAP16
4331	5489	PPIAP7
4332	5491	PPIAP9
4333	5493	PPL
4334	5494	PPM1A
4335	5495	PPM1B
4336	5496	PPM1G
4337	5498	PPOX
4338	5499	PPP1CA
4339	5500	PPP1CB
4340	5501	PPP1CC
4341	5502	PPP1R1A
4342	5504	PPP1R2
4343	5506	PPP1R3A
4344	5507	PPP1R3C
4345	5509	PPP1R3D
4346	5510	PPP1R7
4347	5511	PPP1R8
4348	5512	PPP1R8P1
4349	5514	PPP1R10
4350	5515	PPP2CA
4351	5516	PPP2CB
4352	5517	PPP2CBP1
4353	5518	PPP2R1A
4354	5519	PPP2R1B
4355	5520	PPP2R2A
4356	5521	PPP2R2B
4357	5522	PPP2R2C
4358	5523	PPP2R3A
4359	5524	PTPA
4360	5525	PPP2R5A
4361	5526	PPP2R5B
4362	5527	PPP2R5C
4363	5528	PPP2R5D
4364	5529	PPP2R5E
4365	5530	PPP3CA
4366	5531	PPP4C
4367	5532	PPP3CB
4368	5533	PPP3CC
4369	5534	PPP3R1
4370	5535	PPP3R2
4371	5536	PPP5C
4372	5537	PPP6C
4373	5538	PPT1
4374	5539	PPY
4375	5540	NPY4R
4376	5542	PRB1
4377	5544	PRB3
4378	5545	PRB4
4379	5546	PRCC
4380	5547	PRCP
4381	5548	PRD
4382	5549	PRELP
4383	5550	PREP
4384	5551	PRF1
4385	5552	SRGN
4386	5553	PRG2
4387	5554	PRH1
4388	5555	PRH2
4389	5557	PRIM1
4390	5558	PRIM2
4391	5562	PRKAA1
4392	5563	PRKAA2
4393	5564	PRKAB1
4394	5565	PRKAB2
4395	5566	PRKACA
4396	5567	PRKACB
4397	5568	PRKACG
4398	5569	PKIA
4399	5570	PKIB
4400	5571	PRKAG1
4401	5573	PRKAR1A
4402	5574	PRKAR1AP1
4403	5575	PRKAR1B
4404	5576	PRKAR2A
4405	5577	PRKAR2B
4406	5578	PRKCA
4407	5579	PRKCB
4408	5580	PRKCD
4409	5581	PRKCE
4410	5582	PRKCG
4411	5583	PRKCH
4412	5584	PRKCI
4413	5585	PKN1
4414	5586	PKN2
4415	5587	PRKD1
4416	5588	PRKCQ
4417	5589	PRKCSH
4418	5590	PRKCZ
4419	5591	PRKDC
4420	5592	PRKG1
4421	5593	PRKG2
4422	5594	MAPK1
4423	5595	MAPK3
4424	5596	MAPK4
4425	5597	MAPK6
4426	5598	MAPK7
4427	5599	MAPK8
4428	5600	MAPK11
4429	5601	MAPK9
4430	5602	MAPK10
4431	5603	MAPK13
4432	5604	MAP2K1
4433	5605	MAP2K2
4434	5606	MAP2K3
4435	5607	MAP2K5
4436	5608	MAP2K6
4437	5609	MAP2K7
4438	5610	EIF2AK2
4439	5611	DNAJC3
4440	5612	THAP12
4441	5613	PRKX
4442	5615	PRKXP2
4443	5616	PRKY
4444	5617	PRL
4445	5618	PRLR
4446	5619	PRM1
4447	5620	PRM2
4448	5621	PRNP
4449	5623	PSPN
4450	5624	PROC
4451	5625	PRODH
4452	5626	PROP1
4453	5627	PROS1
4454	5628	PROS2P
4455	5629	PROX1
4456	5630	PRPH
4457	5631	PRPS1
4458	5634	PRPS2
4459	5635	PRPSAP1
4460	5636	PRPSAP2
4461	5638	PRRG1
4462	5639	PRRG2
4463	5640	PRS
4464	5641	LGMN
4465	5644	PRSS1
4466	5645	PRSS2
4467	5646	PRSS3
4468	5648	MASP1
4469	5649	RELN
4470	5650	KLK7
4471	5651	TMPRSS15
4472	5652	PRSS8
4473	5653	KLK6
4474	5654	HTRA1
4475	5655	KLK10
4476	5657	PRTN3
4477	5660	PSAP
4478	5662	PSD
4479	5663	PSEN1
4480	5664	PSEN2
4481	5669	PSG1
4482	5670	PSG2
4483	5671	PSG3
4484	5672	PSG4
4485	5673	PSG5
4486	5675	PSG6
4487	5676	PSG7
4488	5678	PSG9
4489	5680	PSG11
4490	5681	PSKH1
4491	5682	PSMA1
4492	5683	PSMA2
4493	5684	PSMA3
4494	5685	PSMA4
4495	5686	PSMA5
4496	5687	PSMA6
4497	5688	PSMA7
4498	5689	PSMB1
4499	5690	PSMB2
4500	5691	PSMB3
4501	5692	PSMB4
4502	5693	PSMB5
4503	5694	PSMB6
4504	5695	PSMB7
4505	5696	PSMB8
4506	5697	PYY
4507	5698	PSMB9
4508	5699	PSMB10
4509	5700	PSMC1
4510	5701	PSMC2
4511	5702	PSMC3
4512	5703	PSMC3P1
4513	5704	PSMC4
4514	5705	PSMC5
4515	5706	PSMC6
4516	5707	PSMD1
4517	5708	PSMD2
4518	5709	PSMD3
4519	5710	PSMD4
4520	5711	PSMD5
4521	5713	PSMD7
4522	5714	PSMD8
4523	5715	PSMD9
4524	5716	PSMD10
4525	5717	PSMD11
4526	5718	PSMD12
4527	5719	PSMD13
4528	5720	PSME1
4529	5721	PSME2
4530	5723	PSPH
4531	5724	PTAFR
4532	5725	PTBP1
4533	5726	TAS2R38
4534	5727	PTCH1
4535	5728	PTEN
4536	5729	PTGDR
4537	5730	PTGDS
4538	5731	PTGER1
4539	5732	PTGER2
4540	5733	PTGER3
4541	5734	PTGER4
4542	5735	PTGER4P1
4543	5736	PTGER4P2
4544	5737	PTGFR
4545	5738	PTGFRN
4546	5739	PTGIR
4547	5740	PTGIS
4548	5741	PTH
4549	5742	PTGS1
4550	5743	PTGS2
4551	5744	PTHLH
4552	5745	PTH1R
4553	5746	PTH2R
4554	5747	PTK2
4555	5753	PTK6
4556	5754	PTK7
4557	5756	TWF1
4558	5757	PTMA
4559	5758	PTMAP1
4560	5759	PTMAP2
4561	5760	PTMAP3
4562	5761	PTMAP4
4563	5763	PTMS
4564	5764	PTN
4565	5765	PTOS1
4566	5767	PTP4A2P1
4567	5768	QSOX1
4568	5769	PTP4A2P2
4569	5770	PTPN1
4570	5771	PTPN2
4571	5774	PTPN3
4572	5775	PTPN4
4573	5777	PTPN6
4574	5778	PTPN7
4575	5780	PTPN9
4576	5781	PTPN11
4577	5782	PTPN12
4578	5783	PTPN13
4579	5784	PTPN14
4580	5786	PTPRA
4581	5787	PTPRB
4582	5788	PTPRC
4583	5789	PTPRD
4584	5790	PTPRCAP
4585	5791	PTPRE
4586	5792	PTPRF
4587	5793	PTPRG
4588	5794	PTPRH
4589	5795	PTPRJ
4590	5796	PTPRK
4591	5797	PTPRM
4592	5798	PTPRN
4593	5799	PTPRN2
4594	5800	PTPRO
4595	5801	PTPRR
4596	5802	PTPRS
4597	5803	PTPRZ1
4598	5804	PTPRZ2
4599	5805	PTS
4600	5806	PTX3
4601	5810	RAD1
4602	5813	PURA
4603	5814	PURB
4604	5816	PVALB
4605	5817	PVR
4606	5818	NECTIN1
4607	5819	NECTIN2
4608	5820	PVT1
4609	5822	PWP2
4610	5824	PEX19
4611	5825	ABCD3
4612	5826	ABCD4
4613	5827	PXMP2
4614	5828	PEX2
4615	5829	PXN
4616	5830	PEX5
4617	5831	PYCR1
4618	5832	ALDH18A1
4619	5833	PCYT2
4620	5834	PYGB
4621	5836	PYGL
4622	5837	PYGM
4623	5858	PZP
4624	5859	QARS1
4625	5860	QDPR
4626	5861	RAB1A
4627	5862	RAB2A
4628	5863	RGL2
4629	5864	RAB3A
4630	5865	RAB3B
4631	5866	RAB3IL1
4632	5867	RAB4A
4633	5868	RAB5A
4634	5869	RAB5B
4635	5870	RAB6A
4636	5871	MAP4K2
4637	5872	RAB13
4638	5873	RAB27A
4639	5874	RAB27B
4640	5875	RABGGTA
4641	5876	RABGGTB
4642	5877	RABIF
4643	5878	RAB5C
4644	5879	RAC1
4645	5880	RAC2
4646	5881	RAC3
4647	5883	RAD9A
4648	5884	RAD17
4649	5885	RAD21
4650	5886	RAD23A
4651	5887	RAD23B
4652	5888	RAD51
4653	5889	RAD51C
4654	5890	RAD51B
4655	5891	MOK
4656	5892	RAD51D
4657	5893	RAD52
4658	5894	RAF1
4659	5896	RAG1
4660	5897	RAG2
4661	5898	RALA
4662	5899	RALB
4663	5900	RALGDS
4664	5901	RAN
4665	5902	RANBP1
4666	5903	RANBP2
4667	5905	RANGAP1
4668	5906	RAP1A
4669	5907	RAP1AP
4670	5908	RAP1B
4671	5909	RAP1GAP
4672	5910	RAP1GDS1
4673	5911	RAP2A
4674	5912	RAP2B
4675	5913	RAPSN
4676	5914	RARA
4677	5915	RARB
4678	5916	RARG
4679	5917	RARS1
4680	5918	RARRES1
4681	5919	RARRES2
4682	5920	PLAAT4
4683	5921	RASA1
4684	5922	RASA2
4685	5923	RASGRF1
4686	5924	RASGRF2
4687	5925	RB1
4688	5926	ARID4A
4689	5927	KDM5A
4690	5928	RBBP4
4691	5929	RBBP5
4692	5930	RBBP6
4693	5931	RBBP7
4694	5932	RBBP8
4695	5933	RBL1
4696	5934	RBL2
4697	5935	RBM3
4698	5936	RBM4
4699	5937	RBMS1
4700	5938	RBMS1P1
4701	5939	RBMS2
4702	5940	RBMY1A1
4703	5942	RBMY1C
4704	5944	RBMY1HP
4705	5945	RBMY2AP
4706	5947	RBP1
4707	5948	RBP2
4708	5949	RBP3
4709	5950	RBP4
4710	5953	RCD1
4711	5954	RCN1
4712	5955	RCN2
4713	5956	OPN1LW
4714	5957	RCVRN
4715	5959	RDH5
4716	5961	PRPH2
4717	5962	RDX
4718	5964	RDXP2
4719	5965	RECQL
4720	5966	REL
4721	5967	REG1A
4722	5968	REG1B
4723	5969	REG1CP
4724	5970	RELA
4725	5971	RELB
4726	5972	REN
4727	5973	RENBP
4728	5976	UPF1
4729	5977	DPF2
4730	5978	REST
4731	5979	RET
4732	5980	REV3L
4733	5981	RFC1
4734	5982	RFC2
4735	5983	RFC3
4736	5984	RFC4
4737	5985	RFC5
4738	5986	RFNG
4739	5987	TRIM27
4740	5988	RFPL1
4741	5989	RFX1
4742	5990	RFX2
4743	5991	RFX3
4744	5992	RFX4
4745	5993	RFX5
4746	5994	RFXAP
4747	5995	RGR
4748	5996	RGS1
4749	5997	RGS2
4750	5998	RGS3
4751	5999	RGS4
4752	6000	RGS7
4753	6001	RGS10
4754	6002	RGS12
4755	6003	RGS13
4756	6004	RGS16
4757	6005	RHAG
4758	6006	RHCE
4759	6007	RHD
4760	6008	RHEBP1
4761	6009	RHEB
4762	6010	RHO
4763	6011	GRK1
4764	6012	RIEG2
4765	6013	RLN1
4766	6014	RIT2
4767	6015	RING1
4768	6016	RIT1
4769	6017	RLBP1
4770	6018	RLF
4771	6019	RLN2
4772	6022	RMD1
4773	6023	RMRP
4774	6029	RN7SL1
4775	6030	RN7SL4P
4776	6031	RN7SL5P
4777	6032	RN7SL6P
4778	6033	RN7SL7P
4779	6034	RN7SL8P
4780	6035	RNASE1
4781	6036	RNASE2
4782	6037	RNASE3
4783	6038	RNASE4
4784	6039	RNASE6
4785	6041	RNASEL
4786	6043	SNORA63
4787	6044	SNORA62
4788	6045	RNF2
4789	6046	BRD2
4790	6047	RNF4
4791	6048	RNF5
4792	6049	RNF6
4793	6050	RNH1
4794	6051	RNPEP
4795	6052	RNR1
4796	6053	RNR2
4797	6054	RNR3
4798	6055	RNR4
4799	6056	RNR5
4800	6059	ABCE1
4801	6060	RNU1-4
4802	6063	RNVU1-2A
4803	6066	RNU2-1
4804	6068	SNORD3P1
4805	6069	RNU4-7P
4806	6070	RNU4-8P
4807	6071	RNU6V
4808	6072	RNU7-68P
4809	6073	RNU7-86P
4810	6074	RNU7-24P
4811	6075	RNU7-55P
4812	6076	SNORD13P1
4813	6077	SNORD13P2
4814	6078	SNORD13P3
4815	6079	SNORD15A
4816	6080	SNORA73A
4817	6082	SNORD20
4818	6083	SNORD21
4819	6084	RNY1
4820	6085	RNY3
4821	6086	RNY4
4822	6087	RNY4P1
4823	6088	RNY4P2
4824	6089	RNY4P3
4825	6090	RNY5
4826	6091	ROBO1
4827	6092	ROBO2
4828	6093	ROCK1
4829	6094	ROM1
4830	6095	RORA
4831	6096	RORB
4832	6097	RORC
4833	6098	ROS1
4834	6100	RP9
4835	6101	RP1
4836	6102	RP2
4837	6103	RPGR
4838	6104	RP6
4839	6114	RP22
4840	6116	RP24
4841	6117	RPA1
4842	6118	RPA2
4843	6119	RPA3
4844	6120	RPE
4845	6121	RPE65
4846	6122	RPL3
4847	6123	RPL3L
4848	6124	RPL4
4849	6125	RPL5
4850	6126	RPL9P7
4851	6128	RPL6
4852	6129	RPL7
4853	6130	RPL7A
4854	6132	RPL8
4855	6133	RPL9
4856	6134	RPL10
4857	6135	RPL11
4858	6136	RPL12
4859	6137	RPL13
4860	6138	RPL15
4861	6139	RPL17
4862	6141	RPL18
4863	6142	RPL18A
4864	6143	RPL19
4865	6144	RPL21
4866	6145	RPL21P1
4867	6146	RPL22
4868	6147	RPL23A
4869	6148	RPL23AP1
4870	6150	MRPL23
4871	6152	RPL24
4872	6154	RPL26
4873	6155	RPL27
4874	6156	RPL30
4875	6157	RPL27A
4876	6158	RPL28
4877	6159	RPL29
4878	6160	RPL31
4879	6161	RPL32
4880	6163	RPL32P1
4881	6164	RPL34
4882	6165	RPL35A
4883	6166	RPL36AL
4884	6167	RPL37
4885	6168	RPL37A
4886	6169	RPL38
4887	6170	RPL39
4888	6171	RPL41
4889	6172	RPL41P5
4890	6173	RPL36A
4891	6174	RPL7P1
4892	6175	RPLP0
4893	6176	RPLP1
4894	6181	RPLP2
4895	6182	MRPL12
4896	6183	MRPS12
4897	6184	RPN1
4898	6185	RPN2
4899	6187	RPS2
4900	6188	RPS3
4901	6189	RPS3A
4902	6191	RPS4X
4903	6192	RPS4Y1
4904	6193	RPS5
4905	6194	RPS6
4906	6195	RPS6KA1
4907	6196	RPS6KA2
4908	6197	RPS6KA3
4909	6198	RPS6KB1
4910	6199	RPS6KB2
4911	6201	RPS7
4912	6202	RPS8
4913	6203	RPS9
4914	6204	RPS10
4915	6205	RPS11
4916	6206	RPS12
4917	6207	RPS13
4918	6208	RPS14
4919	6209	RPS15
4920	6210	RPS15A
4921	6217	RPS16
4922	6218	RPS17
4923	6219	RPS17P2
4924	6222	RPS18
4925	6223	RPS19
4926	6224	RPS20
4927	6225	RPS20P3
4928	6226	RPS20P4
4929	6227	RPS21
4930	6228	RPS23
4931	6229	RPS24
4932	6230	RPS25
4933	6231	RPS26
4934	6232	RPS27
4935	6233	RPS27A
4936	6234	RPS28
4937	6235	RPS29
4938	6236	RRAD
4939	6237	RRAS
4940	6238	RRBP1
4941	6239	RREB1
4942	6240	RRM1
4943	6241	RRM2
4944	6242	RTKN
4945	6244	RRM2P2
4946	6246	RRM2P4
4947	6247	RS1
4948	6248	RSC1A1
4949	6249	CLIP1
4950	6251	RSU1
4951	6252	RTN1
4952	6253	RTN2
4953	6256	RXRA
4954	6257	RXRB
4955	6258	RXRG
4956	6259	RYK
4957	6260	RYKP1
4958	6261	RYR1
4959	6262	RYR2
4960	6263	RYR3
4961	6271	S100A1
4962	6272	SORT1
4963	6273	S100A2
4964	6274	S100A3
4965	6275	S100A4
4966	6276	S100A5
4967	6277	S100A6
4968	6278	S100A7
4969	6279	S100A8
4970	6280	S100A9
4971	6281	S100A10
4972	6282	S100A11
4973	6283	S100A12
4974	6284	S100A13
4975	6285	S100B
4976	6286	S100P
4977	6288	SAA1
4978	6289	SAA2
4979	6290	SAA3P
4980	6291	SAA4
4981	6293	VPS52
4982	6294	SAFB
4983	6295	SAG
4984	6296	ACSM3
4985	6297	SALL2
4986	6298	SAI1
4987	6299	SALL1
4988	6300	MAPK12
4989	6301	SARS1
4990	6302	TSPAN31
4991	6303	SAT1
4992	6304	SATB1
4993	6305	SBF1
4994	6307	MSMO1
4995	6308	SC4MOP
4996	6309	SC5D
4997	6310	ATXN1
4998	6311	ATXN2
4999	6314	ATXN7
5000	6315	ATXN8OS
5001	6317	SERPINB3
5002	6318	SERPINB4
5003	6319	SCD
5004	6320	CLEC11A
5005	6322	SCML1
5006	6323	SCN1A
5007	6324	SCN1B
5008	6326	SCN2A
5009	6327	SCN2B
5010	6328	SCN3A
5011	6329	SCN4A
5012	6330	SCN4B
5013	6331	SCN5A
5014	6332	SCN7A
5015	6334	SCN8A
5016	6335	SCN9A
5017	6336	SCN10A
5018	6337	SCNN1A
5019	6338	SCNN1B
5020	6339	SCNN1D
5021	6340	SCNN1G
5022	6341	SCO1
5023	6342	SCP2
5024	6343	SCT
5025	6344	SCTR
5026	6345	SRL
5027	6346	CCL1
5028	6347	CCL2
5029	6348	CCL3
5030	6349	CCL3L1
5031	6351	CCL4
5032	6352	CCL5
5033	6354	CCL7
5034	6355	CCL8
5035	6356	CCL11
5036	6357	CCL13
5037	6358	CCL14
5038	6359	CCL15
5039	6360	CCL16
5040	6361	CCL17
5041	6362	CCL18
5042	6363	CCL19
5043	6364	CCL20
5044	6365	SCZD3
5045	6366	CCL21
5046	6367	CCL22
5047	6368	CCL23
5048	6369	CCL24
5049	6370	CCL25
5050	6372	CXCL6
5051	6373	CXCL11
5052	6374	CXCL5
5053	6375	XCL1
5054	6376	CX3CL1
5055	6377	SCZD1
5056	6378	SCZD2
5057	6382	SDC1
5058	6383	SDC2
5059	6385	SDC4
5060	6386	SDCBP
5061	6387	CXCL12
5062	6388	SDF2
5063	6389	SDHA
5064	6390	SDHB
5065	6391	SDHC
5066	6392	SDHD
5067	6395	SEA
5068	6396	SEC13
5069	6397	SEC14L1
5070	6398	SECTM1
5071	6399	TRAPPC2
5072	6400	SEL1L
5073	6401	SELE
5074	6402	SELL
5075	6403	SELP
5076	6404	SELPLG
5077	6405	SEMA3F
5078	6406	SEMG1
5079	6407	SEMG2
5080	6414	SELENOP
5081	6415	SELENOW
5082	6416	MAP2K4
5083	6418	SET
5084	6419	SETMAR
5085	6420	SF
5086	6421	SFPQ
5087	6422	SFRP1
5088	6423	SFRP2
5089	6424	SFRP4
5090	6425	SFRP5
5091	6426	SRSF1
5092	6427	SRSF2
5093	6428	SRSF3
5094	6429	SRSF4
5095	6430	SRSF5
5096	6431	SRSF6
5097	6432	SRSF7
5098	6433	SFSWAP
5099	6434	TRA2B
5100	6439	SFTPB
5101	6440	SFTPC
5102	6441	SFTPD
5103	6442	SGCA
5104	6443	SGCB
5105	6444	SGCD
5106	6445	SGCG
5107	6446	SGK1
5108	6447	SCG5
5109	6448	SGSH
5110	6449	SGTA
5111	6450	SH3BGR
5112	6451	SH3BGRL
5113	6452	SH3BP2
5114	6453	ITSN1
5115	6455	SH3GL1
5116	6456	SH3GL2
5117	6457	SH3GL3
5118	6458	SH3GL1P1
5119	6459	SH3GL1P2
5120	6461	SHB
5121	6462	SHBG
5122	6463	SHFM2
5123	6464	SHC1
5124	6465	SHC1P1
5125	6466	SHC1P2
5126	6468	FBXW4
5127	6469	SHH
5128	6470	SHMT1
5129	6471	SHMT1P1
5130	6472	SHMT2
5131	6473	SHOX
5132	6474	SHOX2
5133	6476	SI
5134	6477	SIAH1
5135	6478	SIAH2
5136	6480	ST6GAL1
5137	6482	ST3GAL1
5138	6483	ST3GAL2
5139	6484	ST3GAL4
5140	6487	ST3GAL3
5141	6489	ST8SIA1
5142	6490	PMEL
5143	6491	STIL
5144	6492	SIM1
5145	6493	SIM2
5146	6494	SIPA1
5147	6495	SIX1
5148	6496	SIX3
5149	6497	SKI
5150	6498	SKIL
5151	6499	SKIC2
5152	6500	SKP1
5153	6502	SKP2
5154	6503	SLA
5155	6504	SLAMF1
5156	6505	SLC1A1
5157	6506	SLC1A2
5158	6507	SLC1A3
5159	6508	SLC4A3
5160	6509	SLC1A4
5161	6510	SLC1A5
5162	6511	SLC1A6
5163	6512	SLC1A7
5164	6513	SLC2A1
5165	6514	SLC2A2
5166	6515	SLC2A3
5167	6517	SLC2A4
5168	6518	SLC2A5
5169	6519	SLC3A1
5170	6520	SLC3A2
5171	6521	SLC4A1
5172	6522	SLC4A2
5173	6523	SLC5A1
5174	6524	SLC5A2
5175	6525	SMTN
5176	6526	SLC5A3
5177	6527	SLC5A4
5178	6528	SLC5A5
5179	6529	SLC6A1
5180	6530	SLC6A2
5181	6531	SLC6A3
5182	6532	SLC6A4
5183	6533	SLC6A6
5184	6534	SLC6A7
5185	6535	SLC6A8
5186	6536	SLC6A9
5187	6538	SLC6A11
5188	6539	SLC6A12
5189	6540	SLC6A13
5190	6541	SLC7A1
5191	6542	SLC7A2
5192	6543	SLC8A2
5193	6545	SLC7A4
5194	6546	SLC8A1
5195	6547	SLC8A3
5196	6548	SLC9A1
5197	6549	SLC9A2
5198	6550	SLC9A3
5199	6551	SLC9A3P1
5200	6553	SLC9A5
5201	6554	SLC10A1
5202	6555	SLC10A2
5203	6556	SLC11A1
5204	6557	SLC12A1
5205	6558	SLC12A2
5206	6559	SLC12A3
5207	6560	SLC12A4
5208	6561	SLC13A1
5209	6563	SLC14A1
5210	6564	SLC15A1
5211	6565	SLC15A2
5212	6566	SLC16A1
5213	6567	SLC16A2
5214	6568	SLC17A1
5215	6569	SLC34A1
5216	6570	SLC18A1
5217	6571	SLC18A2
5218	6572	SLC18A3
5219	6573	SLC19A1
5220	6574	SLC20A1
5221	6575	SLC20A2
5222	6576	SLC25A1
5223	6578	SLCO2A1
5224	6579	SLCO1A2
5225	6580	SLC22A1
5226	6581	SLC22A3
5227	6582	SLC22A2
5228	6583	SLC22A4
5229	6584	SLC22A5
5230	6585	SLIT1
5231	6586	SLIT3
5232	6588	SLN
5233	6590	SLPI
5234	6591	SNAI2
5235	6594	SMARCA1
5236	6595	SMARCA2
5237	6596	HLTF
5238	6597	SMARCA4
5239	6598	SMARCB1
5240	6599	SMARCC1
5241	6601	SMARCC2
5242	6602	SMARCD1
5243	6603	SMARCD2
5244	6604	SMARCD3
5245	6605	SMARCE1
5246	6606	SMN1
5247	6607	SMN2
5248	6608	SMO
5249	6609	SMPD1
5250	6610	SMPD2
5251	6611	SMS
5252	6612	SUMO3
5253	6613	SUMO2
