大枣,甘遂,芫花,大戟,,,,,,,,,,,,,,,,,,,,,
桂枝,甘草,大枣,生姜,蜀漆,龙骨,牡蛎,,,,,,,,,,,,,,,,,,
桂枝,甘草,大枣,生姜,,,,,,,,,,,,,,,,,,,,,
芍药,甘草,大枣,生姜,茯苓,,,,,,,,,,,,,,,,,,,,
桂枝,芍药,甘草,大枣,生姜,,,,,,,,,,,,,,,,,,,,
桂枝,芍药,甘草,大枣,生姜,,,,,,,,,,,,,,,,,,,,
桂枝,芍药,甘草,大枣,生姜,大黄,,,,,,,,,,,,,,,,,,,
桂枝,芍药,甘草,大枣,生姜,人参,,,,,,,,,,,,,,,,,,,
桂枝,芍药,甘草,大枣,生姜,附子,,,,,,,,,,,,,,,,,,,
葛根,桂枝,芍药,甘草,大枣,生姜,,,,,,,,,,,,,,,,,,,
桂枝,芍药,甘草,大枣,生姜,厚朴,杏仁,,,,,,,,,,,,,,,,,,
赤石脂,乾姜,糯米,,,,,,,,,,,,,,,,,,,,,,
大黄,芒硝,甘草,桃核,桂枝,,,,,,,,,,,,,,,,,,,,
甘草,桔梗,,,,,,,,,,,,,,,,,,,,,,,
柴胡,黄芩,人参,半夏,甘草,大枣,生姜,芒硝,,,,,,,,,,,,,,,,,
柴胡,黄芩,人参,半夏,甘草,大枣,生姜,桂枝,芍药,,,,,,,,,,,,,,,,
柴胡,黄芩,乾姜,桂枝,甘草,栝篓根,牡蛎,,,,,,,,,,,,,,,,,,
柴胡,半夏,茯苓,桂枝,大黄,龙骨,牡蛎,铅丹,人参,大枣,生姜,,,,,,,,,,,,,,
大黄,芒硝,甘草,,,,,,,,,,,,,,,,,,,,,,
附子,甘草,乾姜,葱,,,,,,,,,,,,,,,,,,,,,
附子,甘草,乾姜,猪胆汁,,,,,,,,,,,,,,,,,,,,,
甘草,乾姜,人参,白朮,,,,,,,,,,,,,,,,,,,,,
黄芩,芍药,甘草,大枣,,,,,,,,,,,,,,,,,,,,,
黄芩,芍药,甘草,大枣,生姜,半夏,,,,,,,,,,,,,,,,,,,
