02_Info_Herbs_Name_herb_ID,child_ID,herb_cn_name,herb_pinyin,herb_en_name,23_Herbs_Molecules_Relationships_ID,23_Herbs_Molecules_Relationships_herb_ID,23_Herbs_Molecules_Relationships_Mol_ID,03_Info_Molecules_ID,03_Info_Molecules_MOL_ID,mol_name,molecule_name,ob,mw,alogp,caco2,bbb,hdon,hacc,drug-likeness,inchikey,PubChem_Cid,halflife,RBN,TPSA,FASA-
107,16,¶¡Ïã,Dingxiang,Caryophylliflos,6229,107,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
144,3,¹È¾«²Ý,Gujingcao,Eriocauli Flos,8660,144,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
111,37,¶¬¿û¹û,Dongkuiguo,Malvae Fructus,6334,111,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
137,16,¸ßÁ¼½ª,Gaoliangjiang,Alpiniae Officinarum Rhizome,8111,137,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
43,16,Üê³ÎÇÑ,Bichengqie,Litseae Fructus,2777,43,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
240,15,Á¬Ç®²Ý,Lianqiancao,Glechomae Herba,14495,240,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
175,13,éÎ¼ÄÉú,Hujisheng,Viscum Angulatum Heyne,10580,175,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
313,15,Üù²Ë,Jicai,Capsellae Herba,19341,313,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
334,15,öÄÂó,Qumai,Dianthi Herba,20245,334,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
298,27,ÄÏÉßÌÙ¹û,Nanshetengguo,Celastri Orbiculati Fructus,18445,298,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
337,30,ÈË²ÎÒ¶,Renshenye,Ginseng Folium,20575,337,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
190,9,»ðÂéÈÊ,Huomaren,Cannabis Sativa L.,11284,190,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
290,37,Ä¾ÃÞ»¨,Mumianhua,Gossampiniflos,17988,290,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
187,30,»ÆÜÎ,Huangqi,Hedysarum Multijugum Maxim.,11114,187,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
193,18,¼¦ÊºÌÙ,Jishiteng,Paederiae Scandentis Herba,11446,193,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
287,37,Ä¾±î×Ó,Mubiezi,Momordicae Semen,17755,287,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
315,10,Ç§½ð×Ó,Qianjinzi,Semen Euphorbiae,19432,315,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
260,25,ÂÞºº¹û,Luohanguo,Momordicae Fructus,15812,260,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
316,13,Ç§Äê½¡,Qiannianjian,Homalomena Occulta (Lour.) Schott,19472,316,MOL000069,69,MOL000069,palmitic acid,palmitic acid,19.2965647,256.48,6.368,1.09151,0.99862,1,2,0.098573,IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,,14,37.3,0
