TARGET_ID
ACE2
TLR7
TMPRSS2
IL6
TNF
DPP4
IL10
IL4
HLA-A
IFNA2
CRP
TNNI3
ACE
NRP1
TLR4
ABO
HLA-C
APOE
AR
IL2RA
NPPB
IL1B
F3
LOC117134593
EGFR
LOC117134604
LOC117134608
LOC117135106
LOC112679198
ARNTL
LOC117134605
CCR9
IFNB1
CCL17
CD99
INS
TNFRSF1B
MUC1
TAMM41
CCR5
CXCL10
PMS2
CHAT
CLCN6
MTM1
INPP5E
CXCR6
HLA-B
FURIN
SLC6A20
