TARGET_ID
IMD74
TLR7
IFNL2
IFNL3
IFNL1
IFNLR1
AIIDE
ACE2
SLC6A19
CLEC4M
IGHV@
TMPRSS2
AISIMD
CD74
CIITA
DPP4
