TARGET_ID
COL2A1
SCO2
ZNF644
COL11A1
MYP2
SLITRK6
MYP3
MYP1
MYP10
P3H2
FBN1
MYP7
MYP8
MYP9
MYP17
LRPAP1
MYP15
MYP5
MYP18
NYX
MYP14
ARR3
MYP11
