杜仲,甘草,猪苓,柴胡,没药,南瓜子,橘核,夏枯草,皂角刺,延胡索,冬瓜皮,1.3638485340000004
艾叶,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,钩藤,猪苓,罂粟壳,1.397535217
绞股蓝,甘草,没药,猪苓,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,钩藤,1.4501779690000003
青蒿,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.467513085
北五味子,甘草,猪苓,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,钩藤,橘核,1.4712617540000001
半夏,丹参,甘草,山茱萸,仙茅,猪苓,皂荚子,三七,冬瓜皮,桑枝,橘核,1.340523436
当归,甘草,山茱萸,枸杞子,猪苓,仙茅,皂荚子,三七,冬瓜皮,钩藤,罂粟壳,1.368532741
乳香,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.5112349090000001
马尾莲,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,南瓜子,橘核,皂荚子,1.4586737460000003
紫苏子,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.459538519
天南星,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.510648144
鸡屎藤,柴胡,没药,山茱萸,枸杞子,猪苓,仙茅,皂荚子,三七,南瓜子,冬瓜皮,1.312180886
丁香,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,钩藤,罂粟壳,猪苓,桑枝,1.372637484
玫瑰花,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.523871897
蛇床子,甘草,柴胡,猪苓,没药,南瓜子,橘核,夏枯草,山茱萸,枸杞子,仙茅,1.5570041250000002
女贞子,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.4587690610000001
三七,甘草,猪苓,柴胡,南瓜子,夏枯草,橘核,皂角刺,余甘子,芥子,楮实子,1.401108786
覆盆子,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.471242768
蔓荆子,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.456967496
石菖蒲,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.458433098
山豆根,甘草,猪苓,没药,延胡索,冬瓜皮,橘核,夏枯草,淫羊藿,枳实,乳香,1.6168565090000002
荜茇,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,南瓜子,橘核,皂荚子,1.4696698430000001
洋金花,甘草,猪苓,没药,南瓜子,夏枯草,枳实,紫苏,淫羊藿,延胡索,冬瓜皮,1.386856129
人参叶,甘草,猪苓,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,钩藤,橘核,1.4196508710000002
升麻,甘草,猪苓,柴胡,延胡索,冬瓜皮,橘核,夏枯草,桑白皮,南瓜子,皂角刺,1.607403423
木香,甘草,没药,猪苓,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,钩藤,1.4625284660000002
桂枝,甘草,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,橘核,1.4142899500000001
前胡,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.5200946690000001
香附,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.46109857
荷叶,甘草,山茱萸,枸杞子,猪苓,仙茅,皂荚子,三七,冬瓜皮,钩藤,罂粟壳,1.305967859
黑芝麻,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.4101351690000001
花椒,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,钩藤,猪苓,罂粟壳,桑枝,1.330124639
半枝莲,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.4584724230000001
肉桂,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,南瓜子,皂荚子,三七,1.405267022
胡椒,甘草,猪苓,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,冬瓜皮,钩藤,1.4317409390000004
独活,甘草,猪苓,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,钩藤,橘核,1.4859050910000002
黄芪,甘草,猪苓,柴胡,枸杞子,仙茅,南瓜子,橘核,皂荚子,夏枯草,三七,1.3537391
大黄,甘草,枸杞子,延胡索,猪苓,关黄柏,冬瓜皮,皂荚子,钩藤,橘核,夏枯草,1.2258147949999998
玉米须,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.465285216
天葵子,甘草,猪苓,柴胡,仙茅,南瓜子,橘核,夏枯草,芥子,楮实子,香加皮,1.514419461
荆芥,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.513091409
零陵香,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.443778075
木棉花,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.457801325
紫菀,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.445842068
木蝴蝶,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.4309941990000001
广藿香,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.512324926
牵牛子,甘草,猪苓,柴胡,南瓜子,夏枯草,延胡索,橘核,皂荚子,皂角刺,香加皮,1.54149072
余甘子,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.4620094430000001
苦地丁,甘草,猪苓,没药,冬瓜皮,桑白皮,苦参,罂粟壳,橘核,南瓜子,淫羊藿,1.5306377610000002
桑椹,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.461410583
决明子,甘草,猪苓,没药,仙茅,南瓜子,冬瓜皮,夏枯草,芥子,橘核,楮实子,1.6670444139999998
椿皮,甘草,猪苓,没药,枸杞子,仙茅,南瓜子,橘核,皂荚子,夏枯草,皂角刺,1.4816720660000002
紫苏,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.459937684
薤白,甘草,猪苓,柴胡,延胡索,南瓜子,橘核,夏枯草,皂角刺,皂荚子,余甘子,1.3711993640000004
苦丁茶,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.4580653490000002
侧柏叶,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.505458152
葱白,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.378593755
鸡血藤,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.502122592
苦杏仁,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.4735437340000002
西河柳,甘草,猪苓,柴胡,南瓜子,夏枯草,没药,橘核,余甘子,皂角刺,淫羊藿,1.3105322780000002
黄柏,甘草,猪苓,没药,南瓜子,夏枯草,紫苏,淫羊藿,枳实,龙脷叶,仙茅,1.252030925
白果,麻黄,辣椒,延胡索,关黄柏,龙脷叶,百部,雷公藤,白屈菜,蒺藜,山慈菇,1.0108048679999997
桃仁,甘草,猪苓,柴胡,没药,南瓜子,橘核,夏枯草,枳实,淫羊藿,皂角刺,1.229452502
常山,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.439728922
楮实子,甘草,猪苓,柴胡,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.447219524
佛手,沙棘,麻黄,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,钩藤,罂粟壳,1.318988891
茜草,甘草,猪苓,仙茅,南瓜子,夏枯草,皂荚子,木鳖子,楮实子,芥子,薄荷,1.473907111
穿心莲,甘草,猪苓,没药,雷公藤,冬瓜皮,龙脷叶,罂粟壳,马尾莲,橘核,枳实,1.4282307320000005
藁本,甘草,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,钩藤,1.3932437800000002
辛夷,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,南瓜子,皂荚子,三七,1.4406361810000001
瓜蒌,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.419254842
猫爪草,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,1.4121328930000001
肉豆蔻,甘草,猪苓,柴胡,南瓜子,夏枯草,橘核,皂角刺,余甘子,楮实子,芥子,1.42226525
半边莲,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.497492381
羌活,甘草,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,钩藤,1.4003438570000002
马兜铃,甘草,猪苓,没药,山茱萸,枸杞子,仙茅,南瓜子,皂荚子,三七,橘核,1.356915102
功劳木,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.4806337600000001
木瓜,甘草,猪苓,柴胡,延胡索,南瓜子,冬瓜皮,夏枯草,没药,橘核,皂角刺,1.2081215220000001
海风藤,甘草,猪苓,冬瓜皮,北五味子,马尾莲,大腹皮,桑白皮,橘核,橘络,橘叶,1.495222621
百合,甘草,猪苓,山茱萸,枸杞子,仙茅,皂荚子,三七,冬瓜皮,钩藤,南瓜子,1.4112759549999998
山药,丹参,甘草,山茱萸,仙茅,猪苓,皂荚子,三七,冬瓜皮,罂粟壳,桑枝,1.3814334529999999
钩藤,甘草,猪苓,没药,南瓜子,夏枯草,淫羊藿,仙茅,橘核,枳实,木鳖子,1.445544745
泽漆,甘草,柴胡,猪苓,没药,山茱萸,枸杞子,仙茅,皂荚子,三七,南瓜子,1.492855431
土茯苓,甘草,猪苓,柴胡,枸杞子,仙茅,南瓜子,橘核,皂荚子,夏枯草,三七,1.308646577
